模式,判斷條件,動作與硬體反應
鎖定 (Lock),偵測到人 1s,動作： 擷取並儲存特徵（衣著、高矮）。動作： 觸發語音，計數 +1 (上限 10)。
斷線重連,消失 < 5s 且特徵一致,動作： 保留計數，馬達回歸追蹤，繼續對話。
丟失 (Lost),觀眾消失 > 5s,動作： 重置計數為 0，重置特徵快取。動作： 進入 閒置 (IDLE) 模式。
驅逐 (Purge),對話計數 = 10,動作： 播放第 10 句 + 馬達狂暴抖動。動作： 強制關機（裝死）10s，無視偵測。
閒置 (Idle),20s 無人,動作： 馬達隨機緩慢旋轉，隨機播放 IDLE 語音。
休息 (Sleep),持續 IDLE 2min,動作：系統靜音停止 30s。
